filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K
F=chi-test_T=log_range_GROUP=85_K=5,-39.79554130261572,1.7856066246802856e-41,-1,0.1357035889905775,0.1783347983099684,0.00350351479646,0.0047067039031224,"[0.1288, 0.1426]","[0.1691, 0.1876]","['F=chi-test', 'T=log', 'range', 'GROUP=85', 'K=5']",chi-test,log,85,5
F=chi-test_T=log_range_GROUP=90_K=100,-9.34469374181158,3.6335794671719516e-13,-1,0.1629781666585557,0.1732038129337794,0.0041685439818675,0.004306535100853,"[0.1548, 0.1711]","[0.1648, 0.1816]","['F=chi-test', 'T=log', 'range', 'GROUP=90', 'K=100']",chi-test,log,90,100
F=chi-test_T=log_range_GROUP=90_K=1000,-0.6125381461458503,0.5425810535973251,0,0.1704561155258863,0.1711656195936347,0.0045880609336924,0.0043817339177094,"[0.1615, 0.1794]","[0.1626, 0.1798]","['F=chi-test', 'T=log', 'range', 'GROUP=90', 'K=1000']",chi-test,log,90,1000
F=chi-test_T=log_range_GROUP=90_K=5,-41.79418427896531,2.535073595591505e-42,-1,0.130585060244715,0.1711055248407405,0.0031350934139614,0.0042860812768799,"[0.1244, 0.1367]","[0.1627, 0.1795]","['F=chi-test', 'T=log', 'range', 'GROUP=90', 'K=5']",chi-test,log,90,5
F=chi-test_T=log_range_GROUP=95_K=100,-9.028689876171462,1.204238866207853e-12,-1,0.1530829017799899,0.1636318407911457,0.0046100004939941,0.0044386075788434,"[0.1440, 0.1621]","[0.1549, 0.1723]","['F=chi-test', 'T=log', 'range', 'GROUP=95', 'K=100']",chi-test,log,95,100
F=chi-test_T=log_range_GROUP=95_K=1000,-0.6744834315420495,0.502685141767343,0,0.1621737301700085,0.163072983825643,0.0051030988858892,0.0052234935654555,"[0.1522, 0.1722]","[0.1528, 0.1733]","['F=chi-test', 'T=log', 'range', 'GROUP=95', 'K=1000']",chi-test,log,95,1000
F=chi-test_T=log_range_GROUP=95_K=5,-36.49223108411521,1.3339392798640779e-41,-1,0.1240798712166749,0.1624164447714601,0.0041901568775643,0.0039435589845192,"[0.1159, 0.1323]","[0.1547, 0.1701]","['F=chi-test', 'T=log', 'range', 'GROUP=95', 'K=5']",chi-test,log,95,5
F=textblob-extra_T=freq_GROUP=100_K=100,-4.353926020482538,5.700397572101621e-05,-1,0.0112119608853068,0.0124708354314224,0.0010193341734464,0.0012119974591602,"[0.0092, 0.0132]","[0.0101, 0.0148]","['F=textblob-extra', 'T=freq', 'GROUP=100', 'K=100']",textblob-extra,freq,100,100
F=textblob-extra_T=freq_GROUP=100_K=1000,-2.221076326504104,0.030392004839134,-1,0.0118237178272131,0.0125443417199679,0.0013643259438822,0.0011386882446484,"[0.0091, 0.0145]","[0.0103, 0.0148]","['F=textblob-extra', 'T=freq', 'GROUP=100', 'K=1000']",textblob-extra,freq,100,1000
F=textblob-extra_T=freq_GROUP=100_K=5,-5.016150332397949,5.4164139639112654e-06,-1,0.0108215830064747,0.0126797065604819,0.0013536934666002,0.0015112993110521,"[0.0082, 0.0135]","[0.0097, 0.0156]","['F=textblob-extra', 'T=freq', 'GROUP=100', 'K=5']",textblob-extra,freq,100,5
F=textblob-extra_T=freq_GROUP=10_K=100,9.846309451354172,5.865138386310923e-14,1,0.1095388776840393,0.1008927528242868,0.00326466425789,0.0035318814378408,"[0.1031, 0.1159]","[0.0940, 0.1078]","['F=textblob-extra', 'T=freq', 'GROUP=10', 'K=100']",textblob-extra,freq,10,100
F=textblob-extra_T=freq_GROUP=10_K=1000,10.8997912091092,1.42304651728136e-15,1,0.1117196463465258,0.0997706063602038,0.004505167138727,0.0039695414267619,"[0.1029, 0.1205]","[0.0920, 0.1076]","['F=textblob-extra', 'T=freq', 'GROUP=10', 'K=1000']",textblob-extra,freq,10,1000
