filename,t_score,p_value,stat_signif,classifier_mean,majority_class_mean,classifier_std_error,majority_class_std_error,classifier_CI_str,majority_class_CI_str,components,F,T,GROUP,K,CRIT
F=cate-all-recc_T=log-range_GROUP=8_CRIT=log-loss,-3.0782155678337797,0.0031787512427378,-1,0.6906667154651738,0.7035684793431488,0.0160706355646748,0.0163935269794257,"[0.6592, 0.7222]","[0.6714, 0.7357]","['F=cate-all-recc', 'T=log-range', 'GROUP=8', 'CRIT=log-loss']",cate-all-recc,log-range,8,,log-loss
F=cate-all-recc_T=log-range_GROUP=8_CRIT=random,-2.773300323358172,0.0074544038805361,-1,0.6856759487178044,0.6960160041304204,0.0141359262857806,0.0147380880224318,"[0.6580, 0.7134]","[0.6671, 0.7249]","['F=cate-all-recc', 'T=log-range', 'GROUP=8', 'CRIT=random']",cate-all-recc,log-range,8,,random
F=cate-all-recc_T=range_GROUP=8_CRIT=entropy,-3.450886713696663,0.0010495789264538,-1,0.6883819355382713,0.7010558839753904,0.0145142015767047,0.0139280955062043,"[0.6599, 0.7168]","[0.6738, 0.7284]","['F=cate-all-recc', 'T=range', 'GROUP=8', 'CRIT=entropy']",cate-all-recc,range,8,,entropy
F=cate-all-recc_T=range_GROUP=8_CRIT=gini,-3.1297432570286667,0.0027405982979618,-1,0.6843991177636123,0.6975770087317265,0.0166848550914015,0.0159208527973863,"[0.6517, 0.7171]","[0.6664, 0.7288]","['F=cate-all-recc', 'T=range', 'GROUP=8', 'CRIT=gini']",cate-all-recc,range,8,,gini
F=cate-all-recc_T=range_GROUP=8_CRIT=log-loss,-3.306481987483962,0.0016378571838628,-1,0.686065159685329,0.6959057945042388,0.0122408736360854,0.010765114675899,"[0.6621, 0.7101]","[0.6748, 0.7170]","['F=cate-all-recc', 'T=range', 'GROUP=8', 'CRIT=log-loss']",cate-all-recc,range,8,,log-loss
F=cate-all-recc_T=range_GROUP=8_CRIT=random,-3.562823152831834,0.0007530000305671,-1,0.6867625169616556,0.700377432598346,0.0159228847758866,0.0135849558882176,"[0.6556, 0.7180]","[0.6738, 0.7270]","['F=cate-all-recc', 'T=range', 'GROUP=8', 'CRIT=random']",cate-all-recc,range,8,,random
F=cate-all_T=freq_GROUP=8_CRIT=entropy,30.911616012421867,1.7221204002079427e-34,1,0.2313445731044871,0.1265202867238448,0.0154530481765652,0.0103048267893123,"[0.2011, 0.2616]","[0.1063, 0.1467]","['F=cate-all', 'T=freq', 'GROUP=8', 'CRIT=entropy']",cate-all,freq,8,,entropy
F=cate-all_T=freq_GROUP=8_CRIT=gini,32.70439904464029,2.3699094174755084e-38,1,0.2357348803331324,0.1221781647112453,0.0145412922286158,0.0122572100669658,"[0.2072, 0.2642]","[0.0982, 0.1462]","['F=cate-all', 'T=freq', 'GROUP=8', 'CRIT=gini']",cate-all,freq,8,,gini
F=cate-all_T=freq_GROUP=8_CRIT=log-loss,31.39315801028109,8.982935628065167e-36,1,0.2330952899907171,0.1243923586282903,0.0153966502910837,0.0110741872967011,"[0.2029, 0.2633]","[0.1027, 0.1461]","['F=cate-all', 'T=freq', 'GROUP=8', 'CRIT=log-loss']",cate-all,freq,8,,log-loss
F=cate-all_T=freq_GROUP=8_CRIT=random,37.46930720509558,2.804871587934016e-42,1,0.2365772283948383,0.1263355103063378,0.0116623835050234,0.011121276283465,"[0.2137, 0.2594]","[0.1045, 0.1481]","['F=cate-all', 'T=freq', 'GROUP=8', 'CRIT=random']",cate-all,freq,8,,random
F=cate-all_T=kmeans_GROUP=8_CRIT=entropy,-0.5928371613927421,0.5556226633267823,0,0.4723071548207951,0.4752397083907228,0.0201875608362626,0.0180704339769114,"[0.4327, 0.5119]","[0.4398, 0.5107]","['F=cate-all', 'T=kmeans', 'GROUP=8', 'CRIT=entropy']",cate-all,kmeans,8,,entropy
F=cate-all_T=kmeans_GROUP=8_CRIT=gini,-1.034329871680496,0.305306018239675,0,0.4677084448586939,0.4711827516252995,0.0124475580438897,0.0135478157545245,"[0.4433, 0.4921]","[0.4446, 0.4977]","['F=cate-all', 'T=kmeans', 'GROUP=8', 'CRIT=gini']",cate-all,kmeans,8,,gini
F=cate-all_T=kmeans_GROUP=8_CRIT=log-loss,-1.3435358529373014,0.1843396796176107,0,0.4614974601317559,0.4663639492330688,0.0137489468696549,0.014302646390003,"[0.4345, 0.4884]","[0.4383, 0.4944]","['F=cate-all', 'T=kmeans', 'GROUP=8', 'CRIT=log-loss']",cate-all,kmeans,8,,log-loss
F=cate-all_T=kmeans_GROUP=8_CRIT=random,-0.955344402967726,0.34339023669406,0,0.4642845429093669,0.467411827560182,0.0121995562752459,0.0131391646111994,"[0.4404, 0.4882]","[0.4417, 0.4932]","['F=cate-all', 'T=kmeans', 'GROUP=8', 'CRIT=random']",cate-all,kmeans,8,,random
F=cate-all_T=log-range_GROUP=8_CRIT=entropy,-1.2738601972714272,0.2077971850598494,0,0.691720984170645,0.6974760404931649,0.0177134020721991,0.0172786913296892,"[0.6570, 0.7264]","[0.6636, 0.7313]","['F=cate-all', 'T=log-range', 'GROUP=8', 'CRIT=entropy']",cate-all,log-range,8,,entropy
